teller,aanslag,deel_box1,deel_box3,deel_div
163,-2697.4723878337336,0.0,0.35000000000000003,0.8
164,-2697.4723878337336,0.0,0.35000000000000003,0.8500000000000001
165,-2697.4723878337336,0.0,0.35000000000000003,0.9
166,-2697.4723878337336,0.0,0.35000000000000003,0.9500000000000001
167,-2697.4723878337336,0.0,0.35000000000000003,1.0
168,-2697.4723878337354,0.0,0.4,0.0
169,-2697.4723878337354,0.0,0.4,0.05
170,-2697.4723878337354,0.0,0.4,0.1
171,-2697.4723878337354,0.0,0.4,0.15000000000000002
172,-2697.4723878337354,0.0,0.4,0.2
173,-2697.4723878337354,0.0,0.4,0.25
174,-2697.4723878337354,0.0,0.4,0.30000000000000004
175,-2697.4723878337354,0.0,0.4,0.35000000000000003
176,-2697.4723878337354,0.0,0.4,0.4
177,-2697.4723878337354,0.0,0.4,0.45
178,-2697.4723878337354,0.0,0.4,0.5
179,-2697.4723878337354,0.0,0.4,0.55
180,-2697.4723878337354,0.0,0.4,0.6000000000000001
181,-2697.4723878337354,0.0,0.4,0.65
182,-2697.4723878337354,0.0,0.4,0.7000000000000001
183,-2697.4723878337354,0.0,0.4,0.75
184,-2697.4723878337354,0.0,0.4,0.8
185,-2697.4723878337354,0.0,0.4,0.8500000000000001
186,-2697.4723878337354,0.0,0.4,0.9
187,-2697.4723878337354,0.0,0.4,0.9500000000000001
188,-2697.4723878337354,0.0,0.4,1.0
189,-2697.4723878337327,0.0,0.45,0.0
190,-2697.4723878337327,0.0,0.45,0.05
191,-2697.4723878337327,0.0,0.45,0.1
192,-2697.4723878337327,0.0,0.45,0.15000000000000002
193,-2697.4723878337327,0.0,0.45,0.2
194,-2697.4723878337327,0.0,0.45,0.25
195,-2697.4723878337327,0.0,0.45,0.30000000000000004
196,-2697.4723878337327,0.0,0.45,0.35000000000000003
197,-2697.4723878337327,0.0,0.45,0.4
198,-2697.4723878337327,0.0,0.45,0.45
199,-2697.4723878337327,0.0,0.45,0.5
200,-2697.4723878337327,0.0,0.45,0.55
201,-2697.4723878337327,0.0,0.45,0.6000000000000001
202,-2697.4723878337327,0.0,0.45,0.65
203,-2697.4723878337327,0.0,0.45,0.7000000000000001
204,-2697.4723878337327,0.0,0.45,0.75
205,-2697.4723878337327,0.0,0.45,0.8
206,-2697.4723878337327,0.0,0.45,0.8500000000000001
207,-2697.4723878337327,0.0,0.45,0.9
208,-2697.4723878337327,0.0,0.45,0.9500000000000001
209,-2697.4723878337327,0.0,0.45,1.0
210,-2697.4723878337345,0.0,0.5,0.0
211,-2697.4723878337345,0.0,0.5,0.05
212,-2697.4723878337345,0.0,0.5,0.1
213,-2697.4723878337345,0.0,0.5,0.15000000000000002
214,-2697.4723878337345,0.0,0.5,0.2
215,-2697.4723878337345,0.0,0.5,0.25
216,-2697.4723878337345,0.0,0.5,0.30000000000000004
217,-2697.4723878337345,0.0,0.5,0.35000000000000003
218,-2697.4723878337345,0.0,0.5,0.4
219,-2697.4723878337345,0.0,0.5,0.45
220,-2697.4723878337345,0.0,0.5,0.5
221,-2697.4723878337345,0.0,0.5,0.55
222,-2697.4723878337345,0.0,0.5,0.6000000000000001
223,-2697.4723878337345,0.0,0.5,0.65
224,-2697.4723878337345,0.0,0.5,0.7000000000000001
225,-2697.4723878337345,0.0,0.5,0.75
226,-2697.4723878337345,0.0,0.5,0.8
227,-2697.4723878337345,0.0,0.5,0.8500000000000001
228,-2697.4723878337345,0.0,0.5,0.9
229,-2697.4723878337345,0.0,0.5,0.9500000000000001
230,-2697.4723878337345,0.0,0.5,1.0
231,-2697.4723878337354,0.0,0.55,0.0
232,-2697.4723878337354,0.0,0.55,0.05
233,-2697.4723878337354,0.0,0.55,0.1
234,-2697.4723878337354,0.0,0.55,0.15000000000000002
235,-2697.4723878337354,0.0,0.55,0.2
236,-2697.4723878337354,0.0,0.55,0.25
237,-2697.4723878337354,0.0,0.55,0.30000000000000004
238,-2697.4723878337354,0.0,0.55,0.35000000000000003
239,-2697.4723878337354,0.0,0.55,0.4
240,-2697.4723878337354,0.0,0.55,0.45
241,-2697.4723878337354,0.0,0.55,0.5
242,-2697.4723878337354,0.0,0.55,0.55
243,-2697.4723878337354,0.0,0.55,0.6000000000000001
244,-2697.4723878337354,0.0,0.55,0.65
245,-2697.4723878337354,0.0,0.55,0.7000000000000001
246,-2697.4723878337354,0.0,0.55,0.75
247,-2697.4723878337354,0.0,0.55,0.8
248,-2697.4723878337354,0.0,0.55,0.8500000000000001
249,-2697.4723878337354,0.0,0.55,0.9
250,-2697.4723878337354,0.0,0.55,0.9500000000000001
251,-2697.4723878337354,0.0,0.55,1.0
252,-2697.4723878337336,0.0,0.6000000000000001,0.0
253,-2697.4723878337336,0.0,0.6000000000000001,0.05
254,-2697.4723878337336,0.0,0.6000000000000001,0.1
255,-2697.4723878337336,0.0,0.6000000000000001,0.15000000000000002
256,-2697.4723878337336,0.0,0.6000000000000001,0.2
257,-2697.4723878337336,0.0,0.6000000000000001,0.25
258,-2697.4723878337336,0.0,0.6000000000000001,0.30000000000000004
259,-2697.4723878337336,0.0,0.6000000000000001,0.35000000000000003
260,-2697.4723878337336,0.0,0.6000000000000001,0.4
261,-2697.4723878337336,0.0,0.6000000000000001,0.45
262,-2697.4723878337336,0.0,0.6000000000000001,0.5
263,-2697.4723878337336,0.0,0.6000000000000001,0.55
264,-2697.4723878337336,0.0,0.6000000000000001,0.6000000000000001
265,-2697.4723878337336,0.0,0.6000000000000001,0.65
266,-2697.4723878337336,0.0,0.6000000000000001,0.7000000000000001
267,-2697.4723878337336,0.0,0.6000000000000001,0.75
268,-2697.4723878337336,0.0,0.6000000000000001,0.8
269,-2697.4723878337336,0.0,0.6000000000000001,0.8500000000000001
270,-2697.4723878337336,0.0,0.6000000000000001,0.9
271,-2697.4723878337336,0.0,0.6000000000000001,0.9500000000000001
272,-2697.4723878337336,0.0,0.6000000000000001,1.0
273,-2697.472387833732,0.0,0.65,0.0
274,-2697.472387833732,0.0,0.65,0.05
275,-2697.472387833732,0.0,0.65,0.1
276,-2697.472387833732,0.0,0.65,0.15000000000000002
277,-2697.472387833732,0.0,0.65,0.2
278,-2697.472387833732,0.0,0.65,0.25
279,-2697.472387833732,0.0,0.65,0.30000000000000004
280,-2697.472387833732,0.0,0.65,0.35000000000000003
281,-2697.472387833732,0.0,0.65,0.4
282,-2697.472387833732,0.0,0.65,0.45
283,-2697.472387833732,0.0,0.65,0.5
284,-2697.472387833732,0.0,0.65,0.55
285,-2697.472387833732,0.0,0.65,0.6000000000000001
286,-2697.472387833732,0.0,0.65,0.65
287,-2697.472387833732,0.0,0.65,0.7000000000000001
288,-2697.472387833732,0.0,0.65,0.75
289,-2697.472387833732,0.0,0.65,0.8
290,-2697.472387833732,0.0,0.65,0.8500000000000001
291,-2697.472387833732,0.0,0.65,0.9
292,-2697.472387833732,0.0,0.65,0.9500000000000001
293,-2697.472387833732,0.0,0.65,1.0
294,-2697.4723878337372,0.0,0.7000000000000001,0.0
295,-2697.4723878337372,0.0,0.7000000000000001,0.05
296,-2697.4723878337372,0.0,0.7000000000000001,0.1
297,-2697.4723878337372,0.0,0.7000000000000001,0.15000000000000002
298,-2697.4723878337372,0.0,0.7000000000000001,0.2
299,-2697.4723878337372,0.0,0.7000000000000001,0.25
300,-2697.4723878337372,0.0,0.7000000000000001,0.30000000000000004
301,-2697.4723878337372,0.0,0.7000000000000001,0.35000000000000003
302,-2697.4723878337372,0.0,0.7000000000000001,0.4
303,-2697.4723878337372,0.0,0.7000000000000001,0.45
304,-2697.4723878337372,0.0,0.7000000000000001,0.5
305,-2697.4723878337372,0.0,0.7000000000000001,0.55
306,-2697.4723878337372,0.0,0.7000000000000001,0.6000000000000001
307,-2697.4723878337372,0.0,0.7000000000000001,0.65
308,-2697.4723878337372,0.0,0.7000000000000001,0.7000000000000001
309,-2697.4723878337372,0.0,0.7000000000000001,0.75
310,-2697.4723878337372,0.0,0.7000000000000001,0.8
311,-2697.4723878337372,0.0,0.7000000000000001,0.8500000000000001
312,-2697.4723878337372,0.0,0.7000000000000001,0.9
313,-2697.4723878337372,0.0,0.7000000000000001,0.9500000000000001
314,-2697.4723878337372,0.0,0.7000000000000001,1.0
315,-2697.4723878337345,0.0,0.75,0.0
316,-2697.4723878337345,0.0,0.75,0.05
317,-2697.4723878337345,0.0,0.75,0.1
318,-2697.4723878337345,0.0,0.75,0.15000000000000002
319,-2697.4723878337345,0.0,0.75,0.2
320,-2697.4723878337345,0.0,0.75,0.25
321,-2697.4723878337345,0.0,0.75,0.30000000000000004
322,-2697.4723878337345,0.0,0.75,0.35000000000000003
323,-2697.4723878337345,0.0,0.75,0.4
324,-2697.4723878337345,0.0,0.75,0.45
325,-2697.4723878337345,0.0,0.75,0.5
326,-2697.4723878337345,0.0,0.75,0.55
